entities||descriptions
Zest || Great enthusiasm and energy, often marked by a lively enjoyment.
Zenith || A feeling of being at the peak or highest point, often associated with success or achievement.
Yearning || A deep longing, especially for something or someone that is absent or unattainable.
Wonder || A feeling of amazement and admiration, caused by something beautiful, remarkable, or unfamiliar.
Wistfulness || A feeling of vague or regretful longing, often for something in the past or unattainable.
Vulnerability || A state of being exposed to the possibility of being attacked or harmed, either physically or emotionally.
Vindication || The feeling of being cleared of blame or suspicion, often involving a sense of satisfaction or relief.
Uncertainty || The state of being unsure or having doubts, often involving a lack of definite knowledge or conclusion.
Trepidation || A feeling of fear or anxiety about something that may happen, often involving uncertainty or apprehension.
Tranquility || A state of peace and quiet, often accompanied by a sense of contentment and calm.
Torment || Severe physical or mental suffering, often involving prolonged pain or distress.
Sympathy || Feelings of pity and sorrow for someone else? misfortune, often with a desire to offer comfort or help.
Surprise || A brief emotional state resulting from an unexpected event. It can be positive, negative, or neutral.
Stupor || A state of near-unconsciousness or insensibility, often resulting from shock or extreme fatigue.
Skepticism || A general attitude of doubting or questioning, often involving a lack of conviction or certainty.
Shock || A sudden and intense emotional state caused by an unexpected and typically negative event, leading to disorientation and confusion.
Serenity || A state of being calm, peaceful, and untroubled, often reflecting an inner contentment.
Satisfaction || The feeling of pleasure when one's wishes, expectations, or needs are fulfilled.
Sadness || A feeling of sorrow or unhappiness. It often arises from disappointment, loss, or negative life events.
Revulsion || A strong feeling of disgust or repugnance, especially towards something considered offensive or unpleasant.
Reverence || Deep respect for someone or something, often coupled with awe or admiration.
Resignation || The acceptance of something undesirable but inevitable, often leading to a feeling of giving up.
Resentment || A feeling of bitter indignation or anger as a result of being treated unfairly.
Reluctance || Unwillingness or disinclination to do something.
Relief || A feeling of reassurance and relaxation following release from anxiety or distress.
Regret || A feeling of sadness, repentance, or disappointment over something that has happened or been done, especially a missed opportunity.
Rage || Extreme, often uncontrolled anger, typically resulting from frustration or injustice.
Quizzicality || A mildly amused puzzlement, often marked by a questioning attitude or a curious nature.
Pride || A feeling of satisfaction and self-respect, often derived from one's own achievements, the achievements of those with whom one is closely associated, or from qualities or possessions that are widely admired.
"Pessimism || A tendency to see the worst aspect of things or believe that the worst will happen; a lack of hope or confidence in the future."
Panic || Sudden uncontrollable fear or anxiety, often causing wildly unthinking behavior.
Overwhelm || A feeling of being completely overcome in mind or emotion, often due to excessive demands or challenges.
Outrage || An extremely strong reaction of anger, shock, or indignation, often prompted by something perceived as unjust, offensive, or scandalous.
Optimism || A general disposition to expect the best in all things or hopefulness for a positive outcome.
Numbness || A lack of emotion or emotional response, often as a result of shock or trauma.
Nostalgia || A sentimental longing or wistful affection for the past, typically for a period or place with happy personal associations.
Nonchalance || The state or quality of being unexcited or indifferent, often in situations where a reaction is expected.
Mortification || Great embarrassment and shame, often caused by a humiliating or deeply disappointing incident.
Mirth || Amusement, especially as expressed in laughter, often caused by something funny or entertaining.
Melancholy || A feeling of deep sadness or gloom, often without a specific cause, characterized by reflective and pensive mood.
Love || A deep, tender, ineffable feeling of affection and solicitude toward a person, such as that arising from kinship, recognition of attractive qualities, or a sense of underlying oneness.
Loneliness || A sad emotion felt when one feels isolated or lacks companionship.
Lethargy || A lack of energy and enthusiasm, often marked by an indifferent or sluggish disposition.
Jubilation || A feeling of great happiness and triumph, often marked by enthusiastic celebrations.
Jealousy || An emotion that arises when a person perceives a threat to a valued relationship or possession, often leading to feelings of insecurity and anxiety.
Jealousy || An emotion that arises when a person perceives a threat to a valued relationship or possession, often leading to feelings of insecurity and anxiety.
Irresolution || A lack of resolution or decisiveness, often marked by an inability to make up one's mind.
Intrigue || A feeling of fascination or interest, especially when something seems mysterious or complex.
Inspiration || A sudden brilliant or timely idea, or the arousal of the mind to special unusual activity or creativity.
"Insecurity || A feeling of uncertainty or anxiety about oneself; a lack of confidence."
Indifference || A lack of interest, concern, or sympathy towards others or events.
Humility || The quality of having a modest or low view of one's importance, often leading to a respectful and unassuming attitude.
Hostility || A strong and often aggressive or antagonistic feeling towards someone or something.
