id,conversation_id,flow_id,step_id,direction,payload,content_type,message_order,interaction_order,created_at
b416224d-57f9-46b3-9fe2-8a4c3d5245c1,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Lass uns mal versuchen, ein paar Aktivitäten zu finden, die dir Spaß machen! 🙌""},""content_type"":""text""}",text,2,0,2023-06-11 18:32:24.503132
93988c30-1843-40f8-b6bf-790689a17b1e,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,RECEIVE,"{""content"":{""payload"":""👍""},""content_type"":""payload""}",payload,0,0,2023-06-11 18:32:35.093439
362cd471-2cb8-4a8b-95cc-48c60cbf971b,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""buttons"":[{""content"":{""accepts"":[""Ja, schon."",""Ja, schon.""],""payload"":""Ja, schon."",""title"":""Ja, schon.""},""content_type"":""button""},{""content"":{""accepts"":[""Geht eigentlich"",""Geht eigentlich""],""payload"":""Geht eigentlich"",""title"":""Geht eigentlich""},""content_type"":""button""}],""title"":""Fällt es dir schwer, eine positive Aktivität in deinen Alltag einzubauen?""},""content_type"":""question""}",question,2,0,2023-06-11 18:32:35.093439
89fa05bc-116d-4471-a3de-a2091026f7cd,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,RECEIVE,"{""content"":{""payload"":""Geht eigentlich""},""content_type"":""payload""}",payload,0,0,2023-06-11 18:32:54.221356
a478b7d3-ab3d-484b-94b3-18d379838215,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Aber da bist du nicht allein! Viele haben genug für die Schule, Universität oder Arbeit 🧑💼 zu tun und nur wenig Freizeit.""},""content_type"":""text""}",text,2,0,2023-06-11 18:32:54.221356
b2625dd7-2a92-4b5a-9c8f-576c79ceb85d,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Aber: Positive Aktivitäten müssen keine große Sache sein!""},""content_type"":""text""}",text,5,0,2023-06-11 18:32:54.221356
5c1258c6-0ee3-4ab5-9154-7789ff7eb69d,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Manchmal kann es schon helfen, wenn du duschen gehst und dich danach frisch fühlst. 🚿""},""content_type"":""text""}",text,8,0,2023-06-11 18:32:54.221356
736a7389-7063-41cb-af4b-019442b8e364,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""buttons"":[{""content"":{""accepts"":[""Ich verstehe. 👌"",""Ich verstehe. 👌""],""payload"":""Ich verstehe. 👌"",""title"":""Ich verstehe. 👌""},""content_type"":""button""},{""content"":{""accepts"":[""Alles klar."",""Alles klar.""],""payload"":""Alles klar."",""title"":""Alles klar.""},""content_type"":""button""}],""title"":""Auch solche kleinen Aktivitäten können helfen, deine Stimmung zu verbessern und auf bessere Gedanken zu kommen.""},""content_type"":""question""}",question,11,0,2023-06-11 18:32:54.221356
03b2d789-0508-4a38-8c7c-88f801fd1058,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,RECEIVE,"{""content"":{""payload"":""Ich verstehe. 👌""},""content_type"":""payload""}",payload,0,0,2023-06-11 19:01:06.539732
501dd9a3-50b4-4933-a8d6-2467b550f927,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Bestimmt kennst du ein paar Aktivitäten, bei denen du sagst, ...""},""content_type"":""text""}",text,2,0,2023-06-11 19:01:06.539732
5f51eda2-a560-4a63-b5eb-4fd080b6f803,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""... das macht mir Spaß. 🎈 Dabei habe ich gute Laune. Dabei kann ich mich entspannen. 💆""},""content_type"":""text""}",text,5,0,2023-06-11 19:01:06.539732
ed95d83e-6ee4-4b2a-b6c5-e862088b469c,fb0749b3-3391-4f35-9ad6-958a1b9a931c,verhaltensaktivierung-2,start,SEND,"{""content"":{""text"":""Lass uns doch mal 3 Aktivitäten sammeln, die dir im Alltag Freude machen könnten. Okay?""},""content_type"":""text""}",text,8,0,2023-06-11 19:01:06.539732
